Word,Sentiment
2 čelí,-1
2 tváře,-1
a+,1
opustit,-1
opuštěný,-1
opuštění,-1
ponížit,-1
ponížení,-1
zahanbit,-1
polevit,-1
abdikovat,-1
aberace,-1
hnusit si,-1
abnormální,-1
zrušit,-1
odporný,-1
strašně,-1
hnusit si,-1
ohavnost,-1
přerušit,-1
přerušeno,-1
přeruší,-1
oplývat,1
oplývá,1
obrousit,-1
abrazivní,-1
náhlý,-1
náhle,-1
uprchnout,-1
absence,-1
nepřítomný,-1
nepřítomný,-1
absurdní,-1
nesmyslnost,-1
absurdně,-1
absurdita,-1
hojnost,1
hojný,1
zneužívání,-1
zneužíván,-1
zneužívání,-1
zneužívající,-1
propastný,-1
propastně,-1
propast,-1
přístupný,1
přístupný,1
náhodné,-1
pozdravovat,1
uznávaný,1
aklamace,1
vyznamenání,1
vyznamenání,1
vstřícný,1
vstřícný,1
splnit,1
dokonalý,1
dosažení,1
úspěchy,1
obtěžovat,-1
přesný,1
přesně,1
prokletý,-1
obvinění,-1
obvinění,-1
obvinit,-1
obviňuje,-1
obviňující,-1
vyčítavě,-1
trpknout,-1
jízlivý,-1
jízlivě,-1
bolest,-1
bolelo,-1
bolesti,-1
bolet,-1
dosažitelný,1
úspěch,1
úspěchy,1
dosažitelný,1
bolavý,-1
štiplavý,-1
štiplavě,-1
štiplavost,-1
prudký,-1
prudce,-1
hořkost,-1
prozíravost,1
neoblomný,-1
neoblomně,-1
adaptabilní,1
adaptivní,1
narkoman,-1
závislý,-1
návykový,-1
narkomani,-1
adekvátní,1
nastavitelný,1
obdivuhodný,1
obdivuhodně,1
obdiv,1
obdivovat,1
obdivovatel,1
obdivující,1
obdivně,1
napomínat,-1
napomínající,-1
napomínaje,-1
napomenutí,-1
napomenutí,-1
rozkošný,1
uctívat,1
zbožňovaný,1
zbožňovatel,1
zamilovaný,1
zbožně,1
obratný,1
obratně,1
pochlebovat,1
pochlebování,1
lichotnický,1
znehodnocovat,-1
falšované,-1
falšování,-1
cizoložník,-1
pokročilý,1
výhoda,1
výhodný,1
výhodně,1
výhody,1
dobrodružný,1
dobrodružný,1
nepřátelský,-1
protivník,-1
nepříznivý,-1
nepřízeň osudu,-1
zastánce,1
obhajoval,1
obhájci,1
přívětivost,1
přívětivý,1
přívětivě,1
afektovanost,1
náklonnost,1
láskyplný,1
afinita,1
potvrdit,1
afirmace,1
kladný,1
postihnout,-1
utrpení,-1
sužující,-1
blahobyt,1
blahobytný,1
si dovolit,1
cenově dostupné,1
cenově dostupné,1
urážka,-1
cenově dostupné,1
strach,-1
zhoršit,-1
přitěžující,-1
zhoršení,-1
agrese,-1
agresivní,-1
agresivita,-1
agresor,-1
ukřivdit,-1
zarmoucený,-1
zhoršení,-1
zděšený,-1
agilní,1
hbitě,1
hbitost,1
agónie,-1
trápit se,-1
mučivý,-1
bolestně,-1
muka,-1
příjemný,1
přívětivost,1
příjemně,1
na mělčině,-1
ail,-1
churavějící,-1
indispozice,-1
bezcílný,-1
poplach,-1
znepokojený,-1
alarmující,-1
znepokojivě,-1
odcizit,-1
odcizený,-1
odcizení,-1
všude okolo,1
tvrzení,-1
obvinění,-1
tvrdit,-1
alergický,-1
alergie,-1
alergie,-1
svůdný,1
lákavě,1
rezervovaný,-1
hádka,-1
altruistický,1
altruisticky,1
ohromit,1
ohromen,1
ohromení,1
udivuje,1
úžasný,1
