Word,Sentiment
'hætte,-1
2 overfor,-1
2 ansigter,-1
a fortiori,1
en okay,1
a posteriori,1
a priori,-1
a+,1
opgive,-1
forladt,-1
forladt person,-1
opgivelse,-1
abase,-1
fornedrelse,-1
fornærmelse,-1
abasia,-1
abasia trepidans,-1
aftagelig,1
aftagelige gener,-1
aftage,-1
abatisk,-1
abaxialt,1
abbe,1
abdicerbar,1
abdicere,-1
abdominal actinomycosis,-1
abdominal aortaaneurisme,1
abdominal vejrtrækning,-1
bortførelse,-1
aberrate,-1
aberration,-1
abetalipoproteinæmi,-1
afsky,-1
abient,1
evne,1
abiotrofi,-1
afskyeligt,-1
ablate,-1
ablateret,-1
ablativ,1
ablaut,1
i stand,1
velfærdig,1
ablepharia,1
dygtighed,1
abnorm,-1
abnormitet,1
unormalt,1
aboklusion,1
afskaffe,-1
afskaffes,1
afskyeligt,-1
afskyeligt,-1
afskyeligt,-1
vederstyggelighed,-1
abort,-1
afbrudt,-1
abortfremkaldende,-1
mislykket,1
aborterer,-1
bugne,-1
bugner,1
over,-1
ovenfor nævnt,-1
slibe,-1
slibende,-1
slibeevne,-1
abreact,-1
brat,1
brat,-1
abscesseret,-1
undslippe,-1
undslippe,1
fravær,-1
fraværende,-1
fraværende,-1
fraværende,-1
fraværsprocent,-1
fravær,1
fravær,1
absolut,-1
absolut alkohol,-1
absolut,1
absoluthed,1
absolver,1
absorbere,1
absorberbar,1
absorbere,1
absorption,-1
afholdenhed,-1
afholdenhed,1
afholdende,-1
abstrakte,1
absurd,-1
absurd,1
absurditet,-1
absurd,-1
absurdhed,-1
abulisk,-1
overflod,1
rigelig,-1
misbrug,1
misbrugt,1
misbrug,-1
grov,-1
krænkende,1
afgrundsdyb,-1
afgrundsdyb,-1
afgrunden,-1
akademisk,-1
akademisk frihed,-1
akademisk relation,1
akademisk,1
akademi,-1
acadia nationalpark,1
acanthocyt,-1
acanthocytose,-1
akardi,-1
acarofobi,-1
akarpøs,-1
akatalektisk,-1
akatafasi,-1
acathexia,-1
acathexis,-1
acaudate,-1
accelererende,-1
acceptere,1
acceptabelt,1
acceptabelhed,1
accept,1
accept,1
accepterer,1
accepterende,1
tilgængelig,1
tilgængelig,1
accessional,1
tilbehør,1
tilbehør,1
tilbehør under kendsgerningen,-1
ulykke,-1
tilbøjelig til uheld,-1
tilfældig,-1
anerkendelse,1
hyldet,1
akklamation,1
akklimatisere sig,-1
anerkendelse,1
udmærkelser,1
imødekomme,1
imødekommende,1
indkvartering,-1
indkvarteringsgodkender,-1
imødekommende,1
imødekommende,1
opnå,1
gennemført,1
præstation,1
præstationer,1
aftale,1
overensstemmelse med rettigheder,1
tilsvarende,1
ifølge,1
derfor,1
anklage,-1
konto,1
indretning,-1
tilvækst,1
tilvækst,-1
tiltagende,-1
akkumulering,-1
akkumulerende,1
nøjagtig,1
præcist,1
forbandet,-1
anklage,-1
beskyldninger,-1
