Word,Sentiment
2 geconfronteerd,-1
2 gezichten,-1
een+,1
in de steek laten,-1
verlaten,-1
in de steek laten,-1
vernederen,-1
vernedering,-1
beschaamd,-1
verminderen,-1
aftreden,-1
aberratie,-1
verafschuwen,-1
abnormaal,-1
vernietigen,-1
afschuwelijk,-1
afschuwelijk,-1
verafschuwen,-1
gruwel,-1
afbreken,-1
afgebroken,-1
breekt af,-1
in overvloed,1
in overvloed,1
schuren,-1
schurend,-1
abrupt,-1
abrupt,-1
onderduiken,-1
afwezigheid,-1
afwezig,-1
afwezige,-1
absurd,-1
absurditeit,-1
absurd,-1
absurditeit,-1
overvloed,1
overvloedig,1
misbruik,-1
misbruikt,-1
mishandelingen,-1
beledigend,-1
verschrikkelijk,-1
verschrikkelijk,-1
afgrond,-1
toegankelijk,1
beschikbaar,1
toevallig,-1
toejuiching,1
geprezen,1
acclamatie,1
accolade,1
lofbetuigingen,1
accommoderend,1
accommoderend,1
bereiken,1
volbracht,1
prestatie,1
prestaties,1
aanklampen,-1
nauwkeurig,1
nauwkeurig,1
vervloekt,-1
beschuldiging,-1
beschuldigingen,-1
beschuldigen,-1
beschuldigt,-1
beschuldigen,-1
beschuldigend,-1
verscherpen,-1
bijtende,-1
acerbisch,-1
pijn,-1
deed pijn,-1
pijnen,-1
achey,-1
haalbaar,1
prestatie,1
prestaties,1
haalbaar,1
pijn doen,-1
bijtende,-1
scherp,-1
scherpte,-1
bitter,-1
bitter,-1
bitterheid,-1
inzicht,1
onbuigzaam,-1
onvermurwbaar,-1
aanpasbaar,1
aangepaste,1
verslaafde,-1
verslaafd,-1
verslavend,-1
verslaafden,-1
adequaat,1
verstelbaar,1
bewonderenswaardig,1
bewonderenswaardig,1
bewondering,1
bewonderen,1
bewonderaar,1
bewonderen,1
bewonderend,1
vermanen,-1
vermaner,-1
vermanend,-1
vermaning,-1
vermaning,-1
schattig,1
dol zijn op,1
aanbeden,1
aanbidder,1
aanbidden,1
aanbiddend,1
handig,1
handig,1
aanbidden,1
vleierij,1
kruiperig,1
vervalsen,-1
vervalst,-1
vervalsing,-1
overspelige,-1
Geavanceerd,1
voordeel,1
voordelig,1
voordelig,1
voordelen,1
avontuurlijk,1
avontuurlijk,1
tegenstander,-1
tegenstander,-1
nadelig,-1
tegenslag,-1
pleiten voor,1
bepleit,1
pleitbezorgers,1
vriendelijkheid,1
minzaam,1
minzaam,1
aanstellerij,1
affectie,1
geliefd,1
affiniteit,1
bevestigen,1
bevestiging,1
bevestigend,1
kwellen,-1
kwelling,-1
kwellend,-1
welvaart,1
rijk,1
veroorloven,1
betaalbaar,1
betaalbaar,1
belediging,-1
betaalbaar,1
bang,-1
verergeren,-1
verzwarend,-1
verergering,-1
agressie,-1
agressief,-1
agressiviteit,-1
agressor,-1
treuren,-1
benadeeld,-1
verergering,-1
verbijsterd,-1
weerbaar,1
behendig,1
wendbaarheid,1
kwellingen,-1
kwellen,-1
kwellend,-1
pijnlijk,-1
nood,-1
aangenaam,1
vriendelijkheid,1
aangenaam,1
aan de grond,-1
ail,-1
ziekelijk,-1
aandoening,-1
doelloos,-1
alarm,-1
gealarmeerd,-1
alarmerend,-1
alarmerend,-1
vervreemden,-1
vervreemd,-1
vervreemding,-1
overal,1
bewering,-1
beschuldigingen,-1
beweren,-1
allergisch,-1
allergieën,-1
allergie,-1
verleidelijk,1
verleidelijk,1
terughoudend,-1
woordenwisseling,-1
altruïstisch,1
altruïstisch,1
verbazen,1
versteld staan,1
verbazing,1
verbaast,1
geweldig,1
verbazingwekkend,1
meerduidigheid,-1
dubbelzinnig,-1
ambitieus,1
ambitieus,1
ambivalentie,-1
ambivalent,-1
hinderlaag,-1
verbeteren,1
ontvankelijk,1
voorziening,1
beminnelijkheid,1
beminnelijk,1
beminnelijk,1
vriendschap,1
vriendschappelijk,1
in der minne,1
verkeerd,-1
vriendschap,1
uitgebreid,1
ruimschoots,1
amputeren,-1
amuseren,1
grappig,1
amusant,1
anarchisme,-1
anarchist,-1
anarchistisch,-1
anarchie,-1
bloedarmoede,-1
engel,1
engelachtig,1
woede,-1
boos,-1
boosheid,-1
boos,-1
doodsangst,-1
vijandigheid,-1
vernietigen,-1
vernietiging,-1
ergeren,-1
ergernis,-1
ergernissen,-1
verveeld,-1
vervelend,-1
irritant,-1
ergert zich aan,-1
abnormaal,-1
anomalie,-1
antagonisme,-1
antagonist,-1
antagonistisch,-1
tegenwerken,-1
anti,-1
anti-amerikaans,-1
anti-Israëlisch,-1
anti-bezetting,-1
anti-proliferatie,-1
anti semieten,-1
anti sociaal,-1
anti ons,-1
anti wit,-1
antipathie,-1
verouderd,-1
antithetisch,-1
angsten,-1
ongerustheid,-1
gespannen,-1
angstig,-1
angstgevoelens,-1
apathisch,-1
apathisch,-1
apathie,-1
Apocalypse,-1
apocalyptisch,-1
apologeet,-1
apologeten,-1
apotheose,1
appèl,-1
afschuwelijk,-1
geschokt,-1
vreselijk,-1
verschrikkelijk,-1
hoger beroep,1
aantrekkelijk,1
applaudisseren,1
merkbaar,1
op prijs stellen,1
gewaardeerd,1
waardeert,1
waarderend,1
waarderend,1
gevangenname,-1
angsten,-1
bezorgd,-1
angstig,-1
gepast,1
goedkeuring,1
goedkeuren,1
willekeurig,-1
geheimzinnig,-1
archaïsch,-1
vurig,1
vurig,1
hartstocht,1
moeizaam,-1
moeizaam,-1
argumentatief,-1
arrogantie,-1
arrogant,-1
arrogant,-1
articuleren,1
beschaamd,-1
stompzinnig,-1
stompzinnig,-1
oneindigheid,-1
achterdochtig,-1
bekladden,-1
aspersie,-1
beledigingen,-1
aspiratie,1
aspiraties,1
streven,1
aanvallen,-1
Sluipmoordenaar,-1
vermoorden,-1
overval,-1
overval,-1
zekerheid,1
zekerheden,1
verzekeren,1
zeker,1
verzekeren,1
verbazen,1
verbaasd,1
verbazingwekkend,1
verbazingwekkend,1
verbazing,1
verbazen,1
verbaasd,1
verbazingwekkend,1
verbazingwekkend,1
op een dwaalspoor,-1
scherpzinnig,1
uiteenvallen,-1
afschuwelijk,-1
wreedheden,-1
gruweldaad,-1
atrofie,-1
aanval,-1
aanvallen,-1
aandachtig,1
aantrekkingskracht,1
aantrekkelijk,1
aantrekkelijk,1
afstemmen,1
