Word,Sentiment
'hood,-1
2 faced,-1
2 faces,-1
a fortiori,1
a okay,1
a posteriori,1
a priori,-1
a+,1
abandon,-1
abandoned,-1
abandoned person,-1
abandonment,-1
abase,-1
abasement,-1
abash,-1
abasia,-1
abasia trepidans,-1
abatable,1
abatable nuisance,-1
abate,-1
abatic,-1
abaxially,1
abbe,1
abdicable,1
abdicate,-1
abdominal actinomycosis,-1
abdominal aortic aneurysm,1
abdominal breathing,-1
abduction,-1
aberrate,-1
aberration,-1
abetalipoproteinemia,-1
abhor,-1
abient,1
ability,1
abiotrophy,-1
abject,-1
ablate,-1
ablated,-1
ablative,1
ablaut,1
able,1
able bodied,1
ablepharia,1
ablism,1
abnormal,-1
abnormality,1
abnormally,1
abocclusion,1
abolish,-1
abolishable,1
abominable,-1
abominably,-1
abominate,-1
abomination,-1
abort,-1
aborted,-1
abortifacient,-1
abortively,1
aborts,-1
abound,-1
abounds,1
above,-1
above named,-1
abrade,-1
abrasive,-1
abrasiveness,-1
abreact,-1
abrupt,1
abruptly,-1
abscessed,-1
abscond,-1
absconder,1
absence,-1
absent,-1
absent minded,-1
absentee,-1
absentee rate,-1
absenteeism,1
absentmindedness,1
absolute,-1
absolute alcohol,-1
absolutely,1
absoluteness,1
absolver,1
absorb,1
absorbable,1
absorbate,1
absorption,-1
abstemiousness,-1
abstinence,1
abstinent,-1
abstractive,1
abstrusely,-1
absurd,1
absurdity,-1
absurdly,-1
absurdness,-1
abulic,-1
abundance,1
abundant,-1
abuse,1
abused,1
abuses,-1
abusive,-1
abusively,1
abysmal,-1
abysmally,-1
abyss,-1
academic,-1
academic freedom,-1
academic relation,1
academically,1
academy,-1
acadia national park,1
acanthocyte,-1
acanthocytosis,-1
acardia,-1
acarophobia,-1
acarpous,-1
acatalectic,-1
acataphasia,-1
acathexia,-1
acathexis,-1
acaudate,-1
acceleratory,-1
accept,1
acceptable,1
acceptableness,1
acceptance,1
acceptation,1
accepting,1
acceptive,1
accessable,1
accessible,1
accessional,1
accessorial,1
accessory,1
accessory during the fact,-1
accident,-1
accident prone,-1
accidental,-1
acclaim,1
acclaimed,1
acclamation,1
acclimatize,-1
accolade,1
accolades,1
accommodate,1
accommodating,1
accommodation,-1
accommodation endorser,-1
accommodative,1
accomodative,1
accomplish,1
accomplished,1
accomplishment,1
accomplishments,1
accord,1
accordance of rights,1
accordant,1
according,1
accordingly,1
accost,-1
account,1
accoutrement,-1
accretion,1
accretionary,-1
accretive,-1
accumulation,-1
accumulative,1
accurate,1
accurately,1
accursed,-1
accusation,-1
accusations,-1
accuse,-1
accuses,-1
accusing,-1
accusingly,1
accusive,-1
accustomed,1
ace,-1
ace of spades,-1
acentric,-1
acentric chromosome,-1
acephalous,1
acephaly,-1
acerbate,-1
acerbic,-1
acerbically,-1
acerbity,-1
acetin,-1
acetoacetic acid,-1
acetum,-1
ache,-1
ached,-1
aches,-1
achey,-1
achievable,1
achievement,1
achievements,1
achievible,1
achilles' heel,1
aching,-1
achlamydeous,-1
achlorhydria,-1
achlorhydric,-1
achondrite,-1
achondritic,-1
achondroplastic,-1
achromatic colour,-1
achromatous,-1
achromia,-1
achy,-1
achylia gastrica,1
acid,-1
acid fast,-1
acid forming,-1
acid loving,-1
acid test,1
acid value,1
acidemia,-1
acidic,-1
acidophilus milk,-1
acidotic,1
acidulous,-1
acidulousness,-1
acknowledge,1
acknowledgeable,1
acknowledged,1
acne,-1
acneiform,-1
acold,-1
acolyte,-1
acorea,-1
acorn shaped,1
acoustic guitar,1
acoustically,1
acoustics,1
acquaintanceship,1
acquainted,1
acquiescence,1
acquirable,1
acquired hemochromatosis,-1
acquired immunity,1
acquisition,1
acquisitiveness,1
acquittal,1
acrid,-1
acridity,-1
acridly,-1
acridness,-1
acrimonious,-1
acrimoniously,-1
acrimony,-1
acritical,-1
acroanesthesia,-1
acrobat,1
acrobatic stunt,-1
acromegalic,-1
acromegaly,-1
acronymous,1
acrophobia,1
acrophobic,-1
acrylamide,-1
acrylic,-1
act,1
act on,1
actable,1
acting,1
acting out,-1
actinic dermatitis,-1
actinomyces,-1
actinomycosis,-1
actinomycotic,-1
actinopod,1
action,1
action painting,1
actionable,1
activated,-1
active,1
active agent,1
active immunity,1
actively,1
activity,1
actual,1
actual sin,1
actualize,1
aculeated,1
acumen,1
acuminate,1
acute,1
acute gastritis,-1
acute glossitis,-1
acute hemorrhagic encephalitis,1
acute lymphocytic leukemia,-1
acute myeloid leukemia,-1
acute organic brain syndrome,1
acute pyelonephritis,-1
acute renal failure,-1
acute triangle,1
acutely,1
acuteness,1
acyclic,1
ad hoc,1
ad hominem,1
ad infinitum,-1
ada scid,-1
adactylous,-1
adactyly,-1
adagio,1
adamant,-1
adamantly,-1
adapt,1
adaptability,1
adaptable,1
adaptive,1
adaxially,1
add to,1
adder's tongue fern,1
addible,1
addict,-1
addicted,-1
addicting,-1
addiction,1
addicts,-1
additive,-1
addle,-1
addled,-1
addressable,1
addressed,1
adenitis,-1
adenopathy,1
adequate,1
adequately,1
adequateness,-1
adhere,1
adhesive,-1
adiabatic,-1
adiabatic process,-1
aditi,-1
adjectivally,1
adjoining room,-1
adjunct,-1
adjuration,1
adjust,1
adjustable,1
adjusted,-1
adjustive,1
administrable,1
administrative,1
administrator,-1
admirable,1
admirably,1
admiration,1
admire,1
admired,1
admirer,1
admiring,1
admiringly,1
admissible,-1
admission,1
admissive,1
admit,1
admittible,-1
admonish,-1
admonisher,-1
admonishingly,-1
admonishment,-1
admonition,-1
adobe,1
adonis,1
adoptable,1
adoptive,1
adorable,1
adorableness,1
adore,1
adored,1
adorer,1
adoring,1
adoringly,1
adornment,1
adrenergic agonist eyedrop,1
adrenergic drug,1
adrenocorticotropic,1
adroit,1
adroitly,1
adsorbate,1
adulate,1
adulation,-1
adulatory,1
adult,-1
adult education,-1
adult intelligence,-1
adulterate,-1
adulterated,-1
adulteration,-1
adulterier,-1
adulterine,-1
adulterously,1
advance,1
advanced,-1
advantage,1
advantageous,1
advantageously,1
advantages,1
adventitious,-1
adventive,-1
adventuresome,1
adventurism,1
adventurous,1
adversarial,-1
adversary,-1
