Word,Sentiment
2 kasvot,-1
2 kasvot,-1
a+,1
luopua,-1
hylätty,-1
hylkääminen,-1
nöyryyttää,-1
alentuminen,-1
häpeä,-1
laantua,-1
luopua kruunusta,-1
poikkeama,-1
inhoaa,-1
epänormaalia,-1
poistaa,-1
inhottavaa,-1
iljettävästi,-1
inhota,-1
kauhistus,-1
keskeyttää,-1
keskeytetty,-1
keskeyttää,-1
runsaasti,1
runsaasti,1
hankaa,-1
hankaava,-1
äkillinen,-1
yhtäkkiä,-1
paeta,-1
poissaolo,-1
hajamielinen,-1
poissaolija,-1
absurdia,-1
absurdia,-1
järjettömästi,-1
absurdiutta,-1
yltäkylläisyys,1
runsas,1
väärinkäyttö,-1
väärin käytetty,-1
väärinkäytöksiä,-1
loukkaavaa,-1
synkkä,-1
järjettömästi,-1
kuiluun,-1
saatavilla,1
saatavilla,1
vahingossa,-1
kiitosta,1
kehuttu,1
huudahdus,1
kunnianosoitus,1
tunnustuksia,1
mukautuva,1
mukautuva,1
saavuttaa,1
saavutettu,1
saavutus,1
saavutuksia,1
puhutella,-1
tarkka,1
tarkasti,1
kirottu,-1
syytös,-1
syytökset,-1
syyttää,-1
syyttää,-1
syyttävä,-1
syyttävästi,-1
pahentaa,-1
acerbinen,-1
kiukkuisesti,-1
särky,-1
särkynyt,-1
kipuja,-1
kipeä,-1
saavutettavissa,1
saavutus,1
saavutuksia,1
saavutettavissa,1
kipeä,-1
kitkerä,-1
ankarasti,-1
ankaruus,-1
katkera,-1
kiihkeästi,-1
katkeruutta,-1
älykkyyttä,1
järkkymätön,-1
päättäväisesti,-1
mukautuva,1
mukautuva,1
addikti,-1
riippuvainen,-1
riippuvuutta aiheuttava,-1
addikteja,-1
riittävä,1
säädettävä,1
ihailtavaa,1
ihailtavasti,1
ihailua,1
ihailla,1
ihailija,1
ihaillen,1
ihaillen,1
varoittaa,-1
varoittaja,-1
varovasti,-1
varoitus,-1
kehotus,-1
ihana,1
jumaloida,1
ihailtu,1
ihailija,1
ihaileva,1
ihailevasti,1
taitava,1
taitavasti,1
seurustelu,1
ihailua,1
imarteleva,1
väärentää,-1
väärennetty,-1
väärentäminen,-1
avionrikkoja,-1
pitkälle kehittynyt,1
etu,1
edullinen,1
edullisesti,1
etuja,1
seikkailunhaluinen,1
seikkailunhaluinen,1
vastakkainen,-1
vastustaja,-1
haitallisia,-1
vastoinkäymisiä,-1
edustaa,1
kannatti,1
puolestapuhujia,1
ystävällisyys,1
ystävällinen,1
ystävällisesti,1
teennäisyys,1
kiintymystä,1
hellä,1
affiniteetti,1
vahvistaa,1
vahvistusta,1
myöntävä,1
vaivata,-1
vaivaa,-1
ahdistava,-1
vaurautta,1
varakkaita,1
olla varaa,1
edullinen,1
edullisesti,1
loukkaus,-1
edullinen,1
peloissaan,-1
pahentaa,-1
raskauttavia,-1
paheneminen,-1
aggressiota,-1
aggressiivinen,-1
aggressiivisuus,-1
hyökkääjä,-1
paheksua,-1
loukkaantunut,-1
paheneminen,-1
kauhistuneena,-1
ketterä,1
ketterästi,1
ketteryyttä,1
tuskia,-1
tuskaa,-1
tuskallinen,-1
tuskallisesti,-1
tuska,-1
miellyttävä,1
miellyttävyyttä,1
miellyttävästi,1
karille,-1
ail,-1
sairaana,-1
sairaus,-1
päämäärätön,-1
hälytys,-1
huolestuneena,-1
hälyttävä,-1
hälyttävästi,-1
vieraannuttaa,-1
vieraantunut,-1
vieraantuminen,-1
kaikkialla,1
väite,-1
syytöksiä,-1
väittää,-1
allerginen,-1
allergiat,-1
allergia,-1
houkutteleva,1
houkuttelevasti,1
syrjässä,-1
kiista,-1
altruistinen,1
altruistisesti,1
hämmästyttää,1
hämmästynyt,1
hämmästys,1
hämmästyttää,1
hämmästyttävä,1
mahtavasti,1
epäselvyys,-1
epäselvä,-1
kunnianhimoinen,1
kunnianhimoisesti,1
ambivalenssi,-1
ambivalenttinen,-1
väijytys,-1
parantaa,1
sovittavissa,1
viihtyisyyttä,1
ystävällisyys,1
ystävällisesti,1
rakastettava,1
ystävällisyys,1
ystävällinen,1
ystävällisesti,1
väärin,-1
ystävyys,1
runsaasti,1
runsaasti,1
amputoida,-1
huvittaa,1
huvittava,1
hauskasti,1
anarkismi,-1
anarkisti,-1
anarkistinen,-1
anarkia,-1
aneeminen,-1
enkeli,1
enkeli,1
suututtaa,-1
vihaisesti,-1
vihaa,-1
vihainen,-1
tuskaa,-1
vihamielisyyttä,-1
tuhota,-1
tuhoaminen,-1
ärsyttää,-1
ärsyttävyys,-1
ärsytyksiä,-1
vihainen,-1
ärsyttävä,-1
ärsyttävästi,-1
ärsyttää,-1
epänormaalia,-1
poikkeavuus,-1
antagonismi,-1
antagonisti,-1
antagonistinen,-1
vastustaa,-1
anti,-1
antiamerikkalainen,-1
Israelin vastainen,-1
miehityksen vastainen,-1
leviämisen esto,-1
antisemiitit,-1
antisosiaalinen,-1
meitä vastaan,-1
anti valkoinen,-1
antipatia,-1
vanhentunut,-1
antiteettinen,-1
ahdistukset,-1
ahdistusta,-1
ahdistunut,-1
huolestuneena,-1
ahdistuneisuus,-1
apaattinen,-1
apaattisesti,-1
apatia,-1
apokalypsi,-1
apokalyptinen,-1
anteeksipyyntö,-1
anteeksipyynnöt,-1
apoteoosi,1
kauhistuttaa,-1
kauhistuttava,-1
järkyttynyt,-1
kauhistuttavaa,-1
hirvittävän,-1
vetoomus,1
houkutteleva,1
taputtaa,1
tuntuva,1
arvostaa,1
arvostettu,1
arvostaa,1
arvostava,1
kiitollisena,1
pelko,-1
pelot,-1
levoton,-1
peloissaan,-1
sopiva,1
hyväksyminen,1
hyväksyä,1
mielivaltainen,-1
mystinen,-1
arkaainen,-1
kiihkeä,1
kiihkeästi,1
kiihko,1
vaivalloinen,-1
vaivalloisesti,-1
argumentoiva,-1
ylimielisyys,-1
ylimielinen,-1
ylimielisesti,-1
artikuloitu,1
hävettää,-1
asiniini,-1
ikävästi,-1
järjettömyyttä,-1
vinossa,-1
asperse,-1
herjaus,-1
toivomuksia,-1
pyrkimys,1
pyrkimyksiä,1
pyrkiä,1
hyökkäys,-1
salamurhaaja,-1
murhata,-1
hyökkäys,-1
hyökkäys,-1
vakuutus,1
vakuutuksia,1
vakuuttaa,1
varmasti,1
vakuuttava,1
hämmästyttää,1
hämmästynyt,1
hämmästyttävä,1
hämmästyttävän,1
hämmästystä,1
hämmästyttää,1
hämmästynyt,1
hämmästyttävä,1
hämmästyttävän,1
harhaan,-1
viisaasti,1
erillään,-1
julmaa,-1
julmuuksia,-1
julmuutta,-1
surkastuminen,-1
hyökkäys,-1
hyökkäyksiä,-1
tarkkaavainen,1
vetovoima,1
viehättävä,1
houkuttelevasti,1
virittää,1
rohkea,-1
rohkeasti,-1
rohkeutta,-1
rohkeutta,-1
kuultavissa,1
kuuluvasti,1
äänekkäästi,-1
lupaava,1
karu,-1
aito,1
autoritaarinen,-1
arvovaltainen,1
autokraatti,-1
itsevaltainen,-1
autonominen,1
saatavilla,1
lumivyöry,-1
ahneus,-1
saita,-1
ahneasti,-1
kostaa,-1
aver,1
vastenmielinen,-1
vastenmielisyys,-1
innokas,1
innokkaasti,1
myöntää,1
palkittiin,1
palkinnot,1
kunnioitusta,1
hämmästynyt,1
kamalaa,-1
mahtava,1
mahtavasti,1
mahtavuutta,1
hämmästynyt,1
kauheaa,-1
kauheasti,-1
kauheutta,-1
kiusallinen,-1
kiusallisuus,-1
mahtavaa,1
kirves,-1
leperrellä,-1
takaisin kirjautuneena,-1
takapuuta,-1
takametsiä,-1
selkäkipu,-1
selkäkipuja,-1
selkäkipu,-1
selkäpurenta,-1
takaperin,-1
selkäranka,1
taaksepäin,-1
takapajuutta,-1
takapuuta,-1
takametsiä,-1
huono,-1
