Word,Sentiment
2 faces,-1
2 visages,-1
un+,1
abandonner,-1
abandonné,-1
abandon,-1
humilier,-1
Une cave,-1
rendre confus,-1
diminuer,-1
abdiquer,-1
aberration,-1
abhorrer,-1
anormal,-1
abolir,-1
abominable,-1
abominablement,-1
abominer,-1
abomination,-1
avorter,-1
avorté,-1
abandonne,-1
abonder,1
abonde,1
éroder,-1
abrasif,-1
brusque,-1
brusquement,-1
prendre la fuite,-1
absence,-1
distrait,-1
absent,-1
absurde,-1
absurdité,-1
absurdement,-1
absurdité,-1
abondance,1
abondant,1
abuser de,-1
abusé,-1
les abus,-1
injurieux,-1
épouvantable,-1
abyssalement,-1
abîme,-1
accessible,1
accessible,1
accidentel,-1
acclamer,1
acclamé,1
acclamation,1
accolade,1
distinctions,1
accommodant,1
accommodant,1
accomplir,1
réalisé,1
accomplissement,1
réalisations,1
accoster,-1
exact,1
avec précision,1
maudit,-1
accusation,-1
accusations,-1
accuser,-1
accuse,-1
accuser,-1
accusateur,-1
aggraver,-1
acerbe,-1
acerbement,-1
mal,-1
fait mal,-1
douleurs,-1
mal,-1
réalisable,1
réalisation,1
réalisations,1
réalisable,1
douloureux,-1
âcre,-1
âprement,-1
âcreté,-1
acrimonieux,-1
avec acrimonie,-1
acrimonie,-1
perspicacité,1
catégorique,-1
catégoriquement,-1
adaptable,1
adaptatif,1
toxicomane,-1
dépendant,-1
addictif,-1
toxicomanes,-1
adéquat,1
Ajustable,1
admirable,1
admirablement,1
admiration,1
admirer,1
admirateur,1
admiratif,1
avec admiration,1
avertir,-1
avertisseur,-1
réprimander,-1
réprimande,-1
admonition,-1
adorable,1
adorer,1
adoré,1
adorateur,1
adorer,1
avec adoration,1
adroit,1
adroitement,1
aduler,1
adulation,1
adulatoire,1
falsifier,-1
frelaté,-1
falsification,-1
adultère,-1
Avancée,1
avantage,1
avantageux,1
avantageusement,1
avantages,1
aventureux,1
aventureux,1
contradictoire,-1
adversaire,-1
négatif,-1
adversité,-1
avocat,1
préconisé,1
défenseurs,1
affabilité,1
affable,1
affablement,1
affectation,1
affection,1
affectueux,1
affinité,1
affirmer,1
affirmation,1
affirmative,1
affliger,-1
affliction,-1
afflictif,-1
richesse,1
affluent,1
s'offrir,1
abordable,1
abordable,1
affront,-1
abordable,1
peur,-1
aggraver,-1
aggravant,-1
aggravation,-1
agression,-1
agressif,-1
agressivité,-1
agresseur,-1
affliger,-1
lésé,-1
aggravation,-1
atterré,-1
agile,1
avec agilité,1
agilité,1
agonies,-1
tourmenter,-1
angoissant,-1
atrocement,-1
agonie,-1
agréable,1
amabilité,1
agréablement,1
échoué,-1
tout,-1
malade,-1
maladie,-1
sans but,-1
alarme,-1
alarmé,-1
alarmant,-1
de manière alarmante,-1
aliéner,-1
aliéné,-1
aliénation,-1
tout autour,1
allégation,-1
allégations,-1
alléguer,-1
allergique,-1
allergique,-1
allergie,-1
séduisant,1
séduisant,1
distant,-1
altercation,-1
altruiste,1
altruiste,1
étonner,1
étonné,1
stupéfaction,1
étonne,1
étonnante,1
étonnamment,1
ambiguïté,-1
ambiguë,-1
ambitieux,1
ambitieusement,1
ambivalence,-1
ambivalent,-1
embuscade,-1
améliorer,1
docile,1
aménité,1
amabilité,1
aimablement,1
aimable,1
amabilité,1
amical,1
à l'amiable,1
un raté,-1
amitié,1
ample,1
amplement,1
amputer,-1
amuser,1
amusant,1
amusant,1
anarchisme,-1
anarchiste,-1
anarchiste,-1
anarchie,-1
anémique,-1
ange,1
angélique,1
colère,-1
avec colère,-1
colère,-1
fâché,-1
angoisse,-1
animosité,-1
annihiler,-1
annihilation,-1
ennuyer,-1
contrariété,-1
ennuis,-1
ennuyé,-1
énervant,-1
ennuyeux,-1
agace,-1
anormal,-1
anomalie,-1
antagonisme,-1
antagoniste,-1
