Word,Sentiment
2 konfrontiert,-1
2 Gesichter,-1
ein+,1
aufgeben,-1
verlassen,-1
Aufgabe,-1
erniedrigen,-1
Erniedrigung,-1
beschämen,-1
nachlassen,-1
abdanken,-1
Abweichung,-1
verabscheuen,-1
abnormal,-1
abschaffen,-1
abscheulich,-1
abscheulich,-1
verabscheuen,-1
Gräuel,-1
abbrechen,-1
abgebrochen,-1
bricht ab,-1
reichlich,1
ist reichlich vorhanden,1
abschleifen,-1
Schleifmittel,-1
abrupt,-1
plötzlich,-1
fliehen,-1
Abwesenheit,-1
abwesend,-1
abwesend,-1
absurd,-1
Absurdität,-1
absurd,-1
Absurdität,-1
Fülle,1
reichlich,1
Missbrauch,-1
missbraucht,-1
Missbrauch,-1
gewalttätig,-1
miserabel,-1
abgrundtief,-1
Abgrund,-1
zugänglich,1
zugänglich,1
zufällig,-1
Anerkennung,1
gefeiert,1
Akklamation,1
Akkolade,1
Auszeichnungen,1
entgegenkommend,1
entgegenkommend,1
erreichen,1
vollendet,1
Leistung,1
Errungenschaften,1
ansprechen,-1
genau,1
genau,1
verflucht,-1
Anklage,-1
Vorwürfe,-1
beschuldigen,-1
beschuldigt,-1
anklagend,-1
anklagend,-1
verschärfen,-1
bitter,-1
bitter,-1
schmerzen,-1
schmerzte,-1
Schmerzen,-1
weh,-1
erreichbar,1
Leistung,1
Erfolge,1
erreichbar,1
Schmerz,-1
scharf,-1
scharf,-1
Schärfe,-1
scharf,-1
scharf,-1
Bitterkeit,-1
Scharfsinn,1
unnachgiebig,-1
unerbittlich,-1
anpassungsfähig,1
adaptiv,1
süchtig,-1
süchtig,-1
süchtig,-1
Süchtige,-1
angemessen,1
einstellbar,1
bewundernswert,1
bewundernswert,1
Bewunderung,1
bewundern,1
Bewunderer,1
bewundernd,1
bewundernd,1
ermahnen,-1
Mahner,-1
mahnend,-1
Ermahnung,-1
Ermahnung,-1
bezaubernd,1
verehren,1
verehrt,1
Bewunderer,1
anbeten,1
anbetend,1
geschickt,1
geschickt,1
schmeicheln,1
Verherrlichung,1
schmeichelhaft,1
verfälschen,-1
verfälscht,-1
Verfälschung,-1
Ehebrecher,-1
fortschrittlich,1
Vorteil,1
vorteilhaft,1
vorteilhaft,1
Vorteile,1
abenteuerlich,1
abenteuerlich,1
Gegner,-1
Gegner,-1
nachteilig,-1
Unglück,-1
Fürsprecher,1
befürwortet,1
Befürworter,1
Freundlichkeit,1
freundlich,1
leutselig,1
Affektiertheit,1
Zuneigung,1
zärtlich,1
Affinität,1
bestätigen,1
Bejahung,1
positiv,1
quälen,-1
Gebrechen,-1
quälend,-1
Wohlstand,1
wohlhabend,1
sich leisten,1
bezahlbar,1
erschwinglich,1
Beleidigung,-1
bezahlbar,1
besorgt,-1
verschlimmern,-1
erschwerend,-1
Verschlimmerung,-1
Aggression,-1
aggressiv,-1
Aggressivität,-1
Aggressor,-1
betrüben,-1
gekränkt,-1
Verschlimmerung,-1
entsetzt,-1
agil,1
agil,1
Beweglichkeit,1
Qualen,-1
quälen,-1
quälend,-1
quälend,-1
Agonie,-1
angenehm,1
Verträglichkeit,1
angenehm,1
auf Grund,-1
weh,-1
krank,-1
Leiden,-1
ziellos,-1
Alarm,-1
alarmiert,-1
alarmierend,-1
erschreckend,-1
entfremden,-1
entfremdet,-1
Entfremdung,-1
Überall,1
Behauptung,-1
Vorwürfe,-1
behaupten,-1
allergisch,-1
Allergien,-1
Allergie,-1
verlockend,1
verlockend,1
distanziert,-1
Auseinandersetzung,-1
altruistisch,1
altruistisch,1
erstaunen,1
erstaunt,1
Staunen,1
erstaunt,1
toll,1
erstaunlich,1
Mehrdeutigkeit,-1
zweideutig,-1
ehrgeizig,1
ehrgeizig,1
Ambivalenz,-1
ambivalent,-1
Hinterhalt,-1
verbessern,1
zugänglich,1
Annehmlichkeit,1
Freundlichkeit,1
liebenswürdig,1
liebenswürdig,1
Verträglichkeit,1
freundschaftlich,1
friedlich,1
übel,-1
Freundschaft,1
reichlich,1
reichlich,1
amputieren,-1
amüsieren,1
lustig,1
amüsant,1
Anarchismus,-1
Anarchist,-1
anarchistisch,-1
Anarchie,-1
anämisch,-1
Engel,1
engelhaft,1
Wut,-1
wütend,-1
Wut,-1
wütend,-1
Pein,-1
Feindseligkeit,-1
vernichten,-1
Vernichtung,-1
Nerven,-1
Ärger,-1
Belästigungen,-1
verärgert,-1
ärgerlich,-1
ärgerlich,-1
nervt,-1
anomal,-1
Anomalie,-1
Antagonismus,-1
Gegner,-1
antagonistisch,-1
antagonisieren,-1
Anti,-1
antiamerikanisch,-1
anti-israelisch,-1
Anti-Besatzung,-1
Anti-Proliferation,-1
Antisemiten,-1
antisozial,-1
gegen uns,-1
Anti-Weiß,-1
Antipathie,-1
veraltet,-1
antithetisch,-1
Ängste,-1
Angst,-1
Ängstlich,-1
besorgt,-1
Angst,-1
apathisch,-1
apathisch,-1
Apathie,-1
Apokalypse,-1
apokalyptisch,-1
Apologet,-1
Apologeten,-1
Apotheose,1
entsetzlich,-1
entsetzen,-1
entsetzt,-1
entsetzlich,-1
erschreckend,-1
appellieren,1
reizvoll,1
applaudieren,1
nennenswert,1
im Wert steigen,1
hochgeschätzt,1
schätzt,1
dankbar,1
anerkennend,1
Auffassung,-1
Befürchtungen,-1
besorgt,-1
ängstlich,-1
angemessen,1
die Genehmigung,1
genehmigen,1
willkürlich,-1
arkan,-1
archaisch,-1
leidenschaftlich,1
leidenschaftlich,1
Eifer,1
mühsam,-1
mühsam,-1
argumentativ,-1
Arroganz,-1
arrogant,-1
arrogant,-1
artikulieren,1
beschämt,-1
dumm,-1
dumm,-1
Dummheit,-1
schief,-1
ärgern,-1
Verleumdung,-1
Verleumdungen,-1
Aspiration,1
Aspirationen,1
streben,1
angreifen,-1
Attentäter,-1
ermorden,-1
Angriff,-1
Angriff,-1
Sicherheit,1
Versicherungen,1
versichern,1
ganz gewiss,1
versichern,1
erstaunen,1
erstaunt,1
erstaunlich,1
erstaunlich,1
Erstaunen,1
erstaunen,1
erstaunt,1
erstaunlich,1
erstaunlich,1
in die Irre,-1
scharfsinnig,1
auseinander,-1
scheußlich,-1
Gräueltaten,-1
Grausamkeit,-1
Atrophie,-1
Attacke,-1
Anschläge,-1
aufmerksam,1
Attraktion,1
attraktiv,1
attraktiv,1
stimmen,1
kühn,-1
kühn,-1
Kühnheit,-1
Unverfrorenheit,-1
hörbar,1
hörbar,1
hörbar,-1
günstig,1
streng,-1
authentisch,1
autoritär,-1
maßgeblich,1
Autokrat,-1
autokratisch,-1
autonom,1
verfügbar,1
Lawine,-1
Habsucht,-1
habgierig,-1
gierig,-1
rächen,-1
behaupten,1
abgeneigt,-1
Abneigung,-1
eifrig,1
eifrig,1
vergeben,1
verliehen,1
Auszeichnungen,1
Scheu,1
eingeschüchtert,1
schrecklich,-1
fantastisch,1
toll,1
Großartigkeit,1
ehrfürchtig,1
furchtbar,-1
furchtbar,-1
Schrecklichkeit,-1
unangenehm,-1
Ungeschicklichkeit,-1
toll,1
Axt,-1
plappern,-1
zurück geloggt,-1
hinteres Holz,-1
Hinterwälder,-1
Rückenschmerzen,-1
Rückenschmerzen,-1
Rückenschmerzen,-1
verleumden,-1
Lästern,-1
Rückgrat,1
rückwärts,-1
Rückständigkeit,-1
Hinterholz,-1
Hinterwälder,-1
Schlecht,-1
schlecht,-1
Schallwand,-1
verdutzt,-1
Verblüffung,-1
verwirrend,-1
Köder,-1
ausgewogen,1
Balken,-1
banal,-1
banalisieren,-1
Fluch,-1
verbannen,-1
Verbannung,-1
Pleite,-1
Barbar,-1
barbarisch,-1
barbarisch,-1
Barbarei,-1
barbarisch,-1
barbarisch,-1
Schnäppchen,1
unfruchtbar,-1
unbegründet,-1
bash,-1
geschlagen,-1
schüchtern,-1
schlagen,-1
Bastard,-1
Bastarde,-1
angeschlagen,-1
Misshandlung,-1
bekloppt,-1
bärisch,-1
tierisch,-1
schön,1
schön,1
schön,1
schön,1
verschönern,1
Schönheit,1
winken,1
winkte,1
winkend,1
winkt,1
Chaos,-1
Bettler,-1
beschmutzt,-1
bitten,-1
Bettler,-1
bettelnd,-1
betteln,-1
betören,-1
bearbeiten,-1
verspätet,-1
belagern,-1
glauben,-1
glaubhaft,1
glaubwürdig,1
schmälern,-1
herabgesetzt,-1
herabsetzen,-1
kriegerisch,-1
Kriegslust,-1
kriegerisch,-1
kriegerisch,-1
Geliebte,1
Bedauern,-1
beklagen,-1
