Word,Sentiment
2 twarze,-1
2 twarze,-1
a+,1
opuścić,-1
opuszczony,-1
porzucenie,-1
poniżać,-1
poniżenie,-1
mieszać,-1
zmniejszać,-1
abdykować,-1
aberracja,-1
czuć wstręt,-1
nieprawidłowy,-1
znieść,-1
wstrętny,-1
wstrętnie,-1
nienawidzić,-1
wstręt,-1
anulować,-1
niedonoszony,-1
aborcje,-1
obfitować,1
obfituje,1
przecierać,-1
ścierny,-1
nagły,-1
nagle,-1
zbiec,-1
brak,-1
bujający w obłokach,-1
bumelant,-1
absurdalny,-1
absurdalność,-1
absurdalnie,-1
absurd,-1
obfitość,1
obfity,1
nadużywać,-1
nadużywany,-1
nadużycia,-1
obraźliwy,-1
bezdenny,-1
przepastnie,-1
przepaść,-1
dostępny,1
dostępny,1
przypadkowy,-1
oklaskiwać,1
uznany,1
aklamacja,1
uznanie,1
wyróżnienia,1
przychylny,1
przychylny,1
ukończyć,1
znakomity,1
osiągnięcie,1
Osiągnięcia,1
zaczepić,-1
dokładny,1
dokładnie,1
przeklęty,-1
oskarżenie,-1
oskarżenia,-1
oskarżać,-1
oskarża,-1
oskarżać,-1
oskarżycielsko,-1
acerbate,-1
cierpki,-1
cierpko,-1
boleć,-1
boli,-1
bóle,-1
boli,-1
osiągalny,1
osiągnięcie,1
osiągnięcia,1
osiągalny,1
zbolały,-1
gryzący,-1
cierpko,-1
cierpkość,-1
zjadliwy,-1
uszczypliwie,-1
gorycz,-1
bystrość,1
nieugięty,-1
stanowczo,-1
dający się przystosować,1
adaptacyjny,1
nałogowiec,-1
uzależniony,-1
uzależniający,-1
uzależnieni,-1
odpowiedni,1
nastawny,1
zachwycający,1
koncertowo,1
podziw,1
podziwiać,1
wielbiciel,1
podziwianie,1
z podziwem,1
napominać,-1
upominający,-1
upominająco,-1
napomnienie,-1
napomnienie,-1
uroczy,1
adorować,1
uwielbiany,1
adorator,1
adorujący,1
adorująco,1
zręczny,1
udatnie,1
pochlebiać,1
schlebianie,1
pochlebczy,1
fałszować,-1
zafałszowane,-1
fałszerstwo,-1
cudzołożnik,-1
zaawansowane,1
korzyść,1
korzystny,1
korzystnie,1
Zalety,1
żądny przygód,1
ryzykowny,1
przeciwnik,-1
przeciwnik,-1
niekorzystny,-1
nieszczęście,-1
rzecznik,1
opowiadał się,1
adwokaci,1
uprzejmość,1
uprzejmy,1
mile,1
sztuczność,1
sympatia,1
czuły,1
podobieństwo,1
potwierdzać,1
afirmacja,1
twierdzący,1
dotknąć,-1
cierpienie,-1
trapiący,-1
zamożność,1
zamożny,1
pozwalać,1
niedrogie,1
niedrogo,1
afront,-1
niedrogie,1
przestraszony,-1
pogarszać,-1
obciążający,-1
pogorszenie,-1
agresja,-1
agresywny,-1
agresywność,-1
agresor,-1
dotknąć,-1
pokrzywdzony,-1
pogorszenie,-1
przerażony,-1
zręczny,1
zwinnie,1
zwinność,1
agonie,-1
męczyć,-1
bolesny,-1
boleśnie,-1
agonia,-1
przyjemny,1
ugodowość,1
przyjemnie,1
na mieliźnie,-1
chorować,-1
schorowany,-1
dolegliwość,-1
bezcelowy,-1
alarm,-1
zaniepokojony,-1
niepokojące,-1
alarmująco,-1
zrazić,-1
wyobcowany,-1
alienacja,-1
dookoła,1
zarzut,-1
zarzuty,-1
twierdzić,-1
uczulony,-1
alergie,-1
alergia,-1
pociągający,1
urzekająco,1
z dala,-1
sprzeczka,-1
altruistyczny,1
altruistycznie,1
zadziwiać,1
zdziwiony,1
zdumienie,1
zdumiewa,1
zdumiewający,1
zadziwiająco,1
niejasność,-1
dwuznaczny,-1
ambitny,1
ambitnie,1
ambiwalencja,-1
ambiwalentny,-1
zasadzka,-1
polepszyć,1
odpowiedzialny,1
uprzejmość,1
uprzejmość,1
uprzejmie,1
sympatyczny,1
ugodowość,1
przyjazny,1
przyjaźnie,1
źle,-1
przyjaźń,1
obszerny,1
obficie,1
odciąć,-1
bawić,1
zabawny,1
wesoło,1
anarchizm,-1
anarchista,-1
anarchistyczny,-1
anarchia,-1
anemiczny,-1
anioł,1
anielski,1
gniew,-1
gniewnie,-1
złość,-1
zły,-1
boleść,-1
animozja,-1
zniszczyć,-1
unicestwienie,-1
drażnić,-1
kłopot,-1
przykrości,-1
zirytowany,-1
irytujący,-1
denerwująco,-1
denerwuje,-1
anomalny,-1
anomalia,-1
antagonizm,-1
antagonista,-1
antagonistyczny,-1
antagonizować,-1
anty,-1
antyamerykański,-1
anty izraelski,-1
anty okupacja,-1
anty proliferacja,-1
antysemici,-1
antyspołeczny,-1
anty nas,-1
anty biały,-1
niechęć,-1
przestarzały,-1
przeciwstawny,-1
niepokoje,-1
lęk,-1
niespokojny,-1
z niepokojem,-1
niepokój,-1
apatyczny,-1
apatycznie,-1
apatia,-1
apokalipsa,-1
apokaliptyczny,-1
apologeta,-1
apologeci,-1
apoteoza,1
przerazić,-1
przerażający,-1
zbulwersowany,-1
przerażający,-1
zatrważająco,-1
odwołanie,1
pociągający,1
oklaskiwać,1
znaczny,1
doceniać,1
doceniane,1
docenia,1
pochwalny,1
z uznaniem,1
obawa,-1
obawy,-1
lękliwy,-1
lękliwie,-1
właściwy,1
aprobata,1
zatwierdzić,1
arbitralny,-1
tajemna,-1
archaiczny,-1
żarliwy,1
żarliwie,1
zapał,1
żmudny,-1
mozolnie,-1
rzeczowy,-1
arogancja,-1
arogancki,-1
arogancko,-1
artykułować,1
zawstydzony,-1
głupi,-1
głupkowato,-1
obrzydliwość,-1
podejrzliwie,-1
obryzgać,-1
oszczerstwo,-1
oszczerstwa,-1
dążenie,1
aspiracje,1
aspirować,1
atakować,-1
morderca,-1
dokonać zamachu,-1
napaść,-1
napaść,-1
zapewnienie,1
zapewnienia,1
gwarantować,1
zapewne,1
zapewnianie,1
zadziwić,1
zdziwiony,1
zadziwiający,1
zdumiewająco,1
zdziwienie,1
zdumieć,1
zdumiony,1
zdumiewający,1
zdumiewająco,1
zabłąkany,-1
przenikliwie,1
jedno od drugiego,-1
okrutny,-1
okrucieństwa,-1
okrucieństwo,-1
zanik,-1
atak,-1
ataki,-1
uważny,1
atrakcja,1
atrakcyjny,1
ładnie,1
dobrać,1
zuchwały,-1
śmiało,-1
zuchwałość,-1
śmiałość,-1
słyszalny,1
głośno,1
głośno,-1
pomyślny,1
surowy,-1
autentyczny,1
autorytatywny,-1
autorytatywny,1
autokrata,-1
autokratyczny,-1
autonomiczny,1
do dyspozycji,1
lawina,-1
chciwość,-1
chciwy,-1
chciwie,-1
pomścić,-1
zaręczać,1
niechętny,-1
niechęć,-1
zachłanny,1
chciwie,1
nagroda,1
wyróżniony,1
nagrody,1
groza,1
przerażony,1
straszny,-1
Wspaniały,1
niesamowicie,1
niesamowitość,1
oniemiały z wrażenia,1
okropny,-1
strasznie,-1
okropność,-1
niezręczny,-1
nieporadność,-1
super,1
topór,-1
bełkot,-1
wstecz zalogowany,-1
z powrotem drewno,-1
ostępy,-1
ból pleców,-1
bóle pleców,-1
ból pleców,-1
nagadać,-1
obmawianie,-1
kręgosłup,1
do tyłu,-1
zacofanie,-1
Backwood,-1
ostępy,-1
zły,-1
źle,-1
przegroda,-1
zbity z tropu,-1
konsternacja,-1
zaskakujący,-1
przynęta,-1
zrównoważony,1
miedza,-1
banalny,-1
banalizować,-1
zmora,-1
wygnać,-1
wygnanie,-1
bankrut,-1
barbarzyńca,-1
barbarzyński,-1
barbarzyńsko,-1
barbarzyństwo,-1
barbarzyński,-1
barbarzyńsko,-1
okazja,1
jałowy,-1
bezpodstawny,-1
grzmotnąć,-1
walnięty,-1
wstydliwy,-1
walić,-1
bękart,-1
dranie,-1
poobijany,-1
maltretowanie,-1
zwariowany,-1
niedźwiedzi,-1
nieludzki,-1
Przepiękny,1
piękny,1
estetycznie,1
estetycznie,1
upiększać,1
piękno,1
kiwać,1
kiwał,1
kiwa,1
kusi,1
dom wariatów,-1
wariat,-1
plugawić,-1
błagać,-1
żebrak,-1
nędzny,-1
żebranie,-1
oszukać,-1
wymłócić,-1
spóźniony,-1
oblec,-1
zadać kłam,-1
wiarygodny,1
wiarygodne,1
bagatelizować,-1
umniejszony,-1
umniejszanie,-1
wojowniczy,-1
wojowniczość,-1
wojujący,-1
wojowniczo,-1
ukochany,1
opłakiwać,-1
narzekać,-1
otumaniony,-1
dobroczyńca,1
dobroczynny,1
korzystny,1
korzystnie,1
beneficjant,1
korzyść,1
korzyści,1
życzliwość,1
życzliwy,1
korzyści,1
zgięty,-1
zwymyślać,-1
pozbawiać kogoś czegoś,-1
żałoba,-1
pozbawiony,-1
szał,-1
błagać,-1
oblężony,-1
zasypać,-1
oczerniać,-1
Najlepsza,1
najlepiej znany,1
najlepsze wyniki,1
najlepiej sprzedający się,1
bestialski,-1
zdradzać,-1
zdrada,-1
zdrady,-1
sprzedawczyk,-1
zdradzać,-1
zdradza,-1
lepiej,1
lepiej znany,1
lepszy niż oczekiwano,1
estetycznie,1
opłakiwać,-1
strzec się,-1
dezorientować,-1
oszołomiony,-1
oszałamiający,-1
oszałamiająco,-1
oszołomienie,-1
czarować,-1
stronniczość,-1
stronniczy,-1
uprzedzenia,-1
sprzeczać się,-1
sprzeczka,-1
zmowy przetargowe,-1
bigoteria,-1
bigoteria,-1
suka,-1
łajdacki,-1
szczypiący,-1
zjadliwie,-1
gorzki,-1
gorzko,-1
gorycz,-1
dziwaczny,-1
paplać,-1
pleciuch,-1
szantaż,-1
bla,-1
winić,-1
nienaganny,1
godny potępienia,-1
mdłe,-1
przymilać się,-1
bluźnić,-1
bluźnierczy,-1
bluźnierstwo,-1
wysadzony,-1
krzykliwy,-1
rażąco,-1
paplanina,-1
posępny,-1
ponuro,-1
ponurość,-1
krwawić,-1
krwawienie,-1
krwawi,-1
skaza,-1
błogosławić,1
błogosławieństwo,1
ślepy,-1
oślepiający,-1
oślepiająco,-1
ślepa strona,-1
rozkosz,1
błogi,1
błogo,1
pęcherz,-1
pęcherze,-1
świąteczny,1
nadęty,-1
zablokowanie,-1
przebój,1
bałwan,-1
rozlew krwi,-1
krwiożerczy,-1
krwawy,-1
kwiat,1
kwitnąć,1
poplamiony,-1
cios,-1
pomyłka,-1
niezdarny,-1
błędy,-1
tępy,-1
plama,-1
zamazywanie,-1
zamazany,-1
zamazywanie,-1
Rozmazany,-1
zamazuje się,-1
wypaplać,-1
chełpliwy,-1
uchylać się,-1
podrobiony,-1
gotować,-1
wrzenie,-1
porywisty,-1
wzmocnić,1
bomba,-1
bombardować,-1
bombardowanie,-1
pompatyczny,-1
niewola,-1
zwariowany,-1
sympatyczny,1
premia,1
premie,1
Bum,1
boom,1
zwiększyć,1
nudziarz,-1
znudzony,-1
nuda,-1
nudziarze,-1
nudy,-1
partanina,-1
niepokoić,-1
zaniepokojony,-1
niepokojące,-1
przeszkadza,-1
kłopotliwy,-1
bezgraniczny,1
hojny,1
usunąć fragment książki,-1
bojkot,-1
blagier,-1
przechwalać się,-1
najmądrzejszy,1
bezmózgi,-1
robić pranie mózgu,-1
rozgarnięty,1
Całkiem nowy,1
rumowisko,-1
bezczelnie,-1
zuchwałość,-1
bachor,-1
zuchwałość,-1
odważny,1
odwaga,1
Brawo,1
nachalny,-1
bezczelnie,-1
bezczelność,-1
naruszenie,-1
przerwanie,-1
zerwać,-1
zerwania,-1
awaria,-1
łamanie,-1
przerwy,-1
przełom,1
przełomy,1
zerwać,-1
rozstania,-1
zadyszka,1
zapierający dech w piersiach,1
oszałamiająco,1
Bryza,1
łapówkarstwo,-1
jasny,1
rozjaśnić,1
jaśniej,1
najjaśniejszy,1
blask,1
blaski,1
znakomity,1
błyszcząco,1
siarka,-1
energiczny,1
jeżyć,-1
kruchy,-1
zepsuł się,-1
złamany,-1
ze złamanym sercem,-1
plemię,-1
braterski,1
zastraszyć,-1
siniak,-1
posiniaczony,-1
siniaki,-1
siniaki,-1
obcesowy,-1
brutalny,-1
brutalizując,-1
brutalności,-1
brutalność,-1
ogłupiać,-1
brutalizując,-1
brutalnie,-1
bydlę,-1
okrutny,-1
bs,-1
klamra,-1
błąd,-1
podsłuchiwanie,-1
powozik,-1
błędy,-1
masywniejszy,-1
masywność,-1
gruby,-1
nieporęczność,-1
byk,-1
byk****,-1
łobuz,-1
zwyżkowy,1
głupie gadanie,-1
bzdura,-1
znęcać się,-1
znęcanie się,-1
zastraszanie,-1
tyłek,-1
uderzenie,-1
zderzyłem się,-1
wpadając,-1
wpadając,-1
guzy,-1
nierówny,-1
klecić,-1
patałach,-1
partactwo,-1
łóżko,-1
prężny,1
ciężar,-1
uciążliwy,-1
uciążliwie,-1
oparzenie,-1
spalony,-1
palenie,-1
oparzenia,-1
biust,-1
popiersia,-1
plotkarz,-1
rzeźnik,-1
rzeź,-1
brzęczenie,-1
bizantyjska,-1
rechot,-1
przypochlebiać się,1
nieszczęścia,-1
tragiczny,-1
tragicznie,-1
nieszczęście,-1
stwardniały,-1
spokojna,1
łagodzący,1
spokój,1
szkalować,-1
oszczerstwo,-1
oszczerstwa,-1
oszczerczy,-1
oszczerczo,-1
oszczerstwo,-1
nowotwór,-1
rakowaty,-1
kanibal,-1
kanibalizować,-1
zdolność,1
zdolny,1
umiejętnie,1
skapitulować,-1
kapryśny,-1
kapryśnie,-1
kapryśność,-1
wywrotka,-1
Urzec,1
urzekający,1
beztroski,1
nieostrożny,-1
nieostrożność,-1
karykatura,-1
rzeź,-1
karp,-1
kreskówkowy,-1
gotówka przywiązany,-1
zwrot gotówki,1
cashbacki,1
chłostać,-1
wykastrowany,-1
wypadek,-1
kataklizm,-1
kataklizm,-1
kataklizm,-1
kataklizmem,-1
katastrofa,-1
katastrofy,-1
katastrofalny,-1
katastroficzny,-1
katastrofy,-1
wpada w ucho,1
żrący,-1
żrąco,-1
ostrzegawczy,-1
jaskinia,-1
świętować,1
słynny,1
uroczystość,1
uroczysty,1
cenzura,-1
otarcie,-1
plewy,-1
zmartwienie,-1
wyzywający,-1
mistrz,1
mistrz,1
chaos,-1
chaotyczny,-1
charyzma,1
charyzmatyczny,1
charytatywny,1
czar,1
uroczy,1
uroczo,1
czysty,1
karać,-1
karać,-1
kara,-1
gadać,-1
papla,-1
tani,-1
tanieć,-1
taniej,1
najtańszy,1
tanio,-1
oszukać,-1
oszukany,-1
oszust,-1
oszukiwanie,-1
cheaty,-1
w kratkę,-1
wiwat,1
wesoły,1
ponury,-1
wesoły,1
serowy,-1
kochać,1
ceniony,1
cherub,1
szyk,1
zbesztać,-1
dziecinny,-1
chłod,-1
chłodno,-1
perkalowy,-1
rycerski,1
rycerskość,1
dusić,-1
choleryczny,-1
niepewny,-1
obowiązek,-1
chroniczny,-1
masywny,-1
grzeczność,1
ucywilizować,1
krzyk,-1
hałaśliwy,-1
