Word,Sentiment
2 confruntate,-1
2 fețe,-1
a+,1
abandon,-1
abandonat,-1
abandon,-1
înjosi,-1
înjosire,-1
rușine,-1
reduce,-1
abdica,-1
aberaţie,-1
detesta,-1
anormal,-1
aboli,-1
abominabil,-1
abominabil,-1
detesta,-1
urâciune,-1
avorta,-1
avortat,-1
avortează,-1
abunda,1
abundă,1
abrazi,-1
abraziv,-1
bruscă,-1
brusc,-1
fugi,-1
absenta,-1
distrat,-1
absent,-1
absurd,-1
absurditate,-1
absurd,-1
absurdul,-1
abundenţă,1
abundent,1
abuz,-1
abuzat,-1
abuzuri,-1
abuziv,-1
abisal,-1
abisal,-1
abis,-1
accesibilă,1
accesibil,1
accidental,-1
aclama,1
aclamat,1
aclamare,1
acoladă,1
laude,1
acomodativ,1
acomodativ,1
realiza,1
realizat,1
realizare,1
realizări,1
acosta,-1
exacte,1
cu acuratețe,1
blestemat,-1
acuzare,-1
acuzații,-1
acuza,-1
acuza,-1
acuzând,-1
acuzator,-1
strânge,-1
acerb,-1
în mod acerb,-1
durere,-1
dureros,-1
dureri,-1
durere,-1
realizabil,1
realizare,1
realizări,1
realizabil,1
durere,-1
acru,-1
acru,-1
acre,-1
acrimonios,-1
acrimonios,-1
asprime,-1
pătrundere,1
neclintit,-1
categoric,-1
adaptabil,1
adaptativ,1
dependent,-1
dependent,-1
dependenta,-1
dependenti,-1
adecvat,1
reglabil,1
admirabil,1
admirabil,1
admirație,1
admira,1
admirator,1
admirativ,1
admirativ,1
avertiza,-1
admonestător,-1
admonestător,-1
admonestare,-1
avertizare,-1
adorabil,1
adora,1
adorat,1
adorator,1
adorând,1
cu adorare,1
dibaci,1
cu pricepere,1
adula,1
adulare,1
adulator,1
adulterează,-1
alterat,-1
alterare,-1
adulter,-1
avansat,1
avantaj,1
avantajos,1
avantajos,1
avantaje,1
aventuros,1
aventuros,1
adversar,-1
adversar,-1
advers,-1
adversitate,-1
avocat,1
pledat,1
avocați,1
amabilitate,1
afabil,1
afabil,1
afectare,1
afecţiune,1
afectuos,1
afinitate,1
afirma,1
afirmare,1
afirmativ,1
dezola,-1
suferinta,-1
aflictive,-1
bunăstare,1
afluent,1
permite,1
accesibil,1
accesibil,1
afront,-1
accesibil,1
frică,-1
