Word,Sentiment
'capucha,-1
2 caras,-1
2 caras,-1
con mayor razón,1
un bien,1
posteriormente,1
a priori,-1
un+,1
abandonar,-1
abandonado,-1
persona abandonada,-1
abandono,-1
humillar,-1
humillación,-1
avergonzar,-1
Abasia,-1
abasia trepidans,-1
abatible,1
molestia abatible,-1
disminuir,-1
abatico,-1
abaxialmente,1
abate,1
abdicable,1
abdicar,-1
actinomicosis abdominal,-1
aneurisma aórtico abdominal,1
respiración abdominal,-1
secuestro,-1
aberrar,-1
aberración,-1
abetalipoproteinemia,-1
aborrecer,-1
abiente,1
capacidad,1
abiotrofia,-1
abyecto,-1
ablación,-1
ablacionado,-1
ablativo,1
apofonía,1
poder,1
sin discapacidad,1
capazfaria,1
capacitismo,1
anormal,-1
anomalía,1
anormalmente,1
aboclusión,1
abolir,-1
abolido,1
abominable,-1
abominablemente,-1
abominar,-1
abominación,-1
abortar,-1
abortado,-1
abortivo,-1
abortivamente,1
aborta,-1
abundar,-1
abunda,1
arriba,-1
nombrado arriba,-1
desgastar,-1
abrasivo,-1
abrasividad,-1
abreviar,-1
abrupto,1
abruptamente,-1
absceso,-1
fugarse,-1
fugitivo,1
ausencia,-1
ausente,-1
despistado,-1
ausente,-1
tasa de ausentismo,-1
absentismo,1
distracción,1
absoluto,-1
alcohol absoluto,-1
absolutamente,1
totalidad,1
absolver,1
absorber,1
absorbible,1
absorber,1
absorción,-1
abstinencia,-1
abstinencia,1
abstinente,-1
abstractivo,1
abstrusamente,-1
absurdo,1
absurdo,-1
absurdamente,-1
absurdo,-1
abúlico,-1
abundancia,1
abundante,-1
abuso,1
abusado,1
abusos,-1
abusivo,-1
abusivamente,1
abismal,-1
abismalmente,-1
abismo,-1
académico,-1
Libertad académica,-1
relación académica,1
académicamente,1
academia,-1
parque nacional acadia,1
acantocitos,-1
acantocitosis,-1
acardia,-1
acarofobia,-1
sin fetos,-1
acataléctico,-1
acatafasia,-1
acatexia,-1
acatexis,-1
acaudar,-1
acelerador,-1
aceptar,1
aceptable,1
aceptabilidad,1
aceptación,1
aceptación,1
aceptando,1
aceptable,1
accesible,1
accesible,1
adicional,1
accesorio,1
accesorio,1
accesorio durante el hecho,-1
accidente,-1
propenso a accidentes,-1
accidental,-1
aclamación,1
aclamado,1
aclamación,1
aclimatarse,-1
espaldarazo,1
elogios,1
acomodar,1
servicial,1
alojamiento,-1
patrocinador de alojamiento,-1
cómodo,1
cómodo,1
realizar,1
logrado,1
logro,1
logros,1
acuerdo,1
acuerdo de derechos,1
conforme,1
de acuerdo a,1
respectivamente,1
abordar,-1
cuenta,1
pertrechos,-1
acreción,1
acrecentado,-1
acumulativo,-1
acumulación,-1
acumulativo,1
preciso,1
precisamente,1
maldito,-1
acusación,-1
acusaciones,-1
acusar,-1
acusa,-1
acusando,-1
acusatoriamente,1
acusativo,-1
acostumbrado,1
as,-1
as de espadas,-1
acéntrico,-1
cromosoma acéntrico,-1
acéfalo,1
acefalia,-1
exacerbar,-1
acerbo,-1
mordazmente,-1
acerbidad,-1
acetina,-1
ácido acetoacético,-1
aceto,-1
dolor,-1
dolido,-1
dolores,-1
adolorido,-1
realizable,1
logro,1
logros,1
