Word,Sentiment
'huva,-1
2 ansikte,-1
2 ansikten,-1
a fortiori,1
ett okej,1
a posteriori,1
a priori,-1
a+,1
överge,-1
övergiven,-1
övergiven person,-1
övergivenhet,-1
förnedra,-1
förnedring,-1
förskräcka,-1
abasia,-1
abasia trepidans,-1
avtagbar,1
lindriga olägenheter,-1
avta,-1
abatisk,-1
abaxiellt,1
abbe,1
abdikerbar,1
abdikera,-1
bukaktinomykos,-1
abdominal aortaaneurysm,1
bukandning,-1
bortförande,-1
avvikande,-1
avvikelse,-1
abetalipoproteinemi,-1
avsky,-1
abient,1
förmåga,1
abiotrofi,-1
absurt,-1
ablate,-1
ablerades,-1
ablativ,1
avljud,1
kunna,1
kapabel,1
ablepharia,1
förmåga,1
onormal,-1
abnormitet,1
onormalt,1
abocklusion,1
avskaffa,-1
avskaffas,1
avskyvärd,-1
avskyvärt,-1
hata,-1
avsky,-1
avbryta,-1
avbruten,-1
abortframkallande,-1
misslyckat,1
avbryter,-1
finnas i överflöd,-1
finns i överflöd,1
ovan,-1
ovan nämnt,-1
abradera,-1
skrovlig,-1
nötningsförmåga,-1
abreact,-1
abrupt,1
tvärt,-1
böld,-1
avvika,-1
avvika,1
frånvaro,-1
frånvarande,-1
frånvarande,-1
frånvarande,-1
frånvarotal,-1
skolk,1
tankspriddhet,1
absolut,-1
absolut alkohol,-1
absolut,1
absoluthet,1
absolver,1
absorbera,1
absorberbar,1
absorbera,1
absorption,-1
abstinens,-1
nykterhet,1
nykter,-1
abstrakt,1
abstrut,-1
absurd,1
absurditet,-1
absurt,-1
absurditet,-1
abulic,-1
överflöd,1
riklig,-1
missbruk,1
missbrukas,1
övergrepp,-1
kränkande,-1
kränkande,1
bottenlös,-1
uruselt,-1
avgrund,-1
akademisk,-1
akademisk frihet,-1
akademisk relation,1
akademiskt,1
akademi,-1
acadia nationalpark,1
akantocyt,-1
akantocytos,-1
akardi,-1
akarofobi,-1
acarpous,-1
akatalektisk,-1
akatafasi,-1
akatexi,-1
acathexis,-1
acaudate,-1
accelererande,-1
acceptera,1
godtagbar,1
acceptans,1
godkännande,1
acceptans,1
acceptera,1
accepterande,1
tillgänglig,1
tillgänglig,1
tillträdande,1
tillbehör,1
tillbehör,1
tillbehör under det faktum,-1
olycka,-1
olycksbenägna,-1
olycklig,-1
hylla,1
hyllad,1
acklamation,1
acklimatisera,-1
utmärkelse,1
utmärkelser,1
rymma,1
tillmötesgående,1
boende,-1
inkvarteringsgivare,-1
tillmötesgående,1
tillmötesgående,1
utföra,1
skicklig,1
prestation,1
prestationer,1
bevilja,1
överensstämmelse med rättigheter,1
överensstämmande,1
enligt,1
följaktligen,1
konfrontera,-1
konto,1
utstyrsel,-1
anhopning,1
accretionary,-1
accretive,-1
ackumulation,-1
ackumulativ,1
exakt,1
exakt,1
förbannad,-1
anklagelse,-1
anklagelser,-1
anklaga,-1
anklagar,-1
anklagande,-1
anklagande,1
ackusiv,-1
van vid,1
ess,-1
Spader ess,-1
acentrisk,-1
acentrisk kromosom,-1
acefalös,1
acefali,-1
förvärras,-1
acerbisk,-1
skarpt,-1
skarphet,-1
acetin,-1
acetoättiksyra,-1
acetum,-1
värk,-1
värkte,-1
värkar,-1
ont,-1
uppnås,1
prestation,1
prestationer,1
uppnås,1
akilleshäl,1
värkande,-1
aklamydisk,-1
aklorhydria,-1
klorhydrisk,-1
akondrit,-1
akondritisk,-1
akondroplastisk,-1
akromatisk färg,-1
akromatös,-1
achromia,-1
värkande,-1
achylia gastrica,1
syra,-1
syrafast,-1
syrabildande,-1
syraälskande,-1
syratest,1
syravärde,1
acidemi,-1
surt,-1
acidophilus mjölk,-1
acidotiska,1
syrlig,-1
surhet,-1
erkänna,1
erkännande,1
erkänd,1
acne,-1
akneiform,-1
en förkylning,-1
akolyt,-1
acorea,-1
ekollon formad,1
akustisk gitarr,1
akustiskt,1
akustik,1
bekantskap,1
bekant,1
samtycke,1
förvärvbart,1
förvärvad hemokromatos,-1
förvärvad immunitet,1
förvärv,1
habegär,1
frikännande,1
frän,-1
skärpa,-1
skarpt,-1
bitterhet,-1
bitter,-1
bittert,-1
bitterhet,-1
akritisk,-1
akroanestesi,-1
akrobat,1
akrobatiskt jippo,-1
akromegali,-1
akromegali,-1
akronym,1
akrofobi,1
akrofoba,-1
akrylamid,-1
akryl-,-1
spela teater,1
agera på,1
agerbar,1
verkande,1
utagerande,-1
aktinisk dermatit,-1
actinomyces,-1
aktinomykos,-1
aktinomykotisk,-1
actinopod,1
handling,1
actionmålning,1
handlingsbar,1
aktiveras,-1
aktiva,1
aktivt medel,1
aktiv immunitet,1
aktivt,1
aktivitet,1
faktisk,1
verklig synd,1
förverkliga,1
akulerades,1
skarpsinne,1
skarpsynta,1
akut,1
akut gastrit,-1
akut glossit,-1
akut hemorragisk encefalit,1
akut lymfatisk leukemi,-1
akut myeloid leukemi,-1
akut organiskt hjärnsyndrom,1
akut pyelonefrit,-1
akut njursvikt,-1
spetsig triangel,1
akut,1
skärpa,1
acyklisk,1
ad hoc,1
ad hominem,1
i det oändliga,-1
ada scid,-1
adaktylös,-1
adaktyl,-1
adagio,1
orubblig,-1
orubbligt,-1
anpassa,1
anpassningsförmåga,1
anpassbar,1
adaptiv,1
adaxiellt,1
Lägg till,1
huggorms tungormbunke,1
tilläggsbart,1
missbrukare,-1
Beroende,-1
beroendeframkallande,-1
missbruk,1
missbrukare,-1
tillsats,-1
addle,-1
adderade,-1
adresserbar,1
adresserad,1
adenit,-1
adenopati,1
lämplig,1
tillräckligt,1
tillräcklighet,-1
ansluta sig,1
lim,-1
adiabatisk,-1
adiabatisk process,-1
aditi,-1
adjektiviskt,1
angränsande rum,-1
tillägg,-1
besvärjelse,1
justera,1
justerbar,1
justeras,-1
justerande,1
administrerbar,1
administrativ,1
administratör,-1
beundransvärd,1
beundransvärt,1
beundran,1
beundra,1
beundrad,1
beundrare,1
beundrar,1
beundrande,1
tillåtlig,-1
tillträde,1
tillåtande,1
erkänna,1
tillåtet,-1
förmana,-1
förmanare,-1
förmanande,-1
förmaning,-1
förmaning,-1
adobe,1
adonis,1
adopterbar,1
adoptiv,1
förtjusande,1
bedårande,1
älska,1
avgudade,1
tillbedjare,1
avguda,1
beundransvärt,1
prydnad,1
adrenerg agonist ögondroppe,1
adrenergt läkemedel,1
adrenokortikotropisk,1
skicklig,1
skickligt,1
adsorbat,1
föröka sig,1
grovt smicker,-1
smickrande,1
vuxen,-1
vuxenutbildning,-1
vuxen intelligens,-1
förfalska,-1
förvanskat,-1
förfalskning,-1
äktenskapsbrott,-1
äktenskapsbrott,-1
äktenskapligt,1
förskott,1
Avancerad,-1
fördel,1
fördelaktig,1
med fördel,1
fördelar,1
tillfällig,-1
adventiva,-1
äventyrlig,1
äventyrlighet,1
äventyrlig,1
motståndare,-1
motståndare,-1
ogynnsam,-1
negativ åsikt,-1
negativt,1
motgång,-1
reklam,1
annonsavdelningen,1
tillrådlighet,1
tillrådligt,1
förespråkare,1
förespråkade,1
förespråkare,1
adynami,-1
aegyptopithecus,1
aerob,1
aerob,1
aesop,-1
fjärran,1
fruktade,-1
vänlighet,1
förbindlig,1
vänligt,1
tillgjordhet,1
påverkade,1
påverkas,-1
påverkan,-1
tillgivenhet,1
öm,1
affinitet,-1
bekräfta,1
bekräftelse,1
korrekt,1
jakande,1
jakande,1
bekräftande,1
anbringad,1
afflatus,1
plåga,-1
lidande,-1
lidande,-1
välstånd,1
förmögen,1
råd,1
överkomligt,1
överkomligt,1
skymf,-1
afibrinogenemi,-1
överkomligt,1
rädd,-1
afro peruk,-1
efter ett mode,-1
trots allt,-1
efter timmar,-1
efterglöd,1
eftertanke,-1
agalaktos,-1
agammaglobulinemi,-1
agape,1
agape kärlek,1
ålder,1
åldersnorm,1
samtyckesålder,-1
ålderslöshet,1
agenesis,-1
ombud,1
agerasia,1
agglutinationstest,-1
förvärra,-1
förvärras,-1
grov misshandel,-1
försvårande,-1
förvärrande,-1
aggregat,-1
aggression,-1
aggressiv,1
aggressivitet,-1
angripare,-1
kränka,-1
förolämpad,-1
förvärrande,-1
aggro,-1
bestört,-1
vig,1
smidigt,1
rörlighet,1
ålderism,1
upprörd,-1
agitation,-1
aglaia,1
agnosi,-1
agnostisk,1
agog,1
agonadal,-1
agonal,-1
plågor,-1
pina,-1
plågade,-1
plågsam,-1
plågsamt,-1
vånda,-1
agorafoba,-1
agranulocytisk,-1
agrapha,-1
hålla med,1
angenäm,1
behaglighet,1
behagligt,1
avtal,1
agromani,-1
på grund,-1
frossa,1
vånda,-1
ett huvud,1
ahimsa,1
ahistoriska,-1
ahriman,-1
Ahura,1
ail,-1
sjuklig,-1
sjukdom,-1
utan mål,-1
planlöst,1
lufttorkad,-1
